ouCNBTPLID,ouCNCTPLID,ouIPPTPLID,ouTaxTPLID,laneType,oUGrade,oUHashChild,oUID,oUJobDescription,oULevel,oUParentID,oUPayrollTaxTPLID,oUPosition
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603779039850,GRADE-002;	2153000-5418000	;FAC-1603779039850,GRADE-003;	2369000-5961000	;FAC-1603779039850,GRADE-004;	5167000-10334000	;FAC-1603779039850,GRADE-005;	6718000-13346000	;FAC-1603779039850,GRADE-006;	8734000-17466000	;FAC-1603779039850,GRADE-007;	11355000-22710000	;FAC-1603779039850,GRADE-008;	14762000-29524000	;FAC-1603779039850,GRADE-009;	19191000-38382000	;FAC-1603779039850,GRADE-010;	25908000-51816000	;FAC-1603779039850,GRADE-011;	34976000-69525000	;FAC-1603779039850,GRADE-012;	47218000-69952000	;FAC-1603779039850,GRADE-013;	47218000-69952000	;FAC-1603779039850,GRADE-014;	1957000-4925000	;FAC-1603779039850",TRUE,OUID-EOKCV02001,Executive Officer KCP HOS. Cokroaminoto - JKT,LVL-004,NULL,PAY-1580288169116,LVL-004-EOKCV
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-STCLCA02002,Staff Collection Cabang,LVL-006,OUID-EOKCV02001,PAY-1580288169116,LVL-006-STCLCA
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603778664950,GRADE-002;	2153000-5418000	;FAC-1603778664950,GRADE-003;	2369000-5961000	;FAC-1603778664950,GRADE-004;	5167000-10334000	;FAC-1603778664950,GRADE-005;	6718000-13346000	;FAC-1603778664950,GRADE-006;	8734000-17466000	;FAC-1603778664950,GRADE-007;	11355000-22710000	;FAC-1603778664950,GRADE-008;	14762000-29524000	;FAC-1603778664950,GRADE-009;	19191000-38382000	;FAC-1603778664950,GRADE-010;	25908000-51816000	;FAC-1603778664950,GRADE-011;	34976000-69525000	;FAC-1603778664950,GRADE-012;	47218000-69952000	;FAC-1603778664950,GRADE-013;	47218000-69952000	;FAC-1603778664950,GRADE-014;	1957000-4925000	;FAC-1603778664950",TRUE,OUID-SOTLD02003,Senior Officer Team Leader ,LVL-005,OUID-EOKCV02001,PAY-1580288169116,LVL-005-SOTLD
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603778452842,GRADE-002;	2153000-5418000	;FAC-1603778452842,GRADE-003;	2369000-5961000	;FAC-1603778452842,GRADE-004;	5167000-10334000	;FAC-1603778452842,GRADE-005;	6718000-13346000	;FAC-1603778452842,GRADE-006;	8734000-17466000	;FAC-1603778452842,GRADE-007;	11355000-22710000	;FAC-1603778452842,GRADE-008;	14762000-29524000	;FAC-1603778452842,GRADE-009;	19191000-38382000	;FAC-1603778452842,GRADE-010;	25908000-51816000	;FAC-1603778452842,GRADE-011;	34976000-69525000	;FAC-1603778452842,GRADE-012;	47218000-69952000	;FAC-1603778452842,GRADE-013;	47218000-69952000	;FAC-1603778452842,GRADE-014;	1957000-4925000	;FAC-1603778452842",TRUE,OUID-AOFFR02004,Account Officer,LVL-006,OUID-EOKCV02001,PAY-1580288169116,LVL-006-AOFFR
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-AAOFF02005,Assistant Account officer,LVL-006,OUID-EOKCV02001,PAY-1580288169116,LVL-006-AAOFF
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603778266357,GRADE-002;	2153000-5418000	;FAC-1603778266357,GRADE-003;	2369000-5961000	;FAC-1603778266357,GRADE-004;	5167000-10334000	;FAC-1603778266357,GRADE-005;	6718000-13346000	;FAC-1603778266357,GRADE-006;	8734000-17466000	;FAC-1603778266357,GRADE-007;	11355000-22710000	;FAC-1603778266357,GRADE-008;	14762000-29524000	;FAC-1603778266357,GRADE-009;	19191000-38382000	;FAC-1603778266357,GRADE-010;	25908000-51816000	;FAC-1603778266357,GRADE-011;	34976000-69525000	;FAC-1603778266357,GRADE-012;	47218000-69952000	;FAC-1603778266357,GRADE-013;	47218000-69952000	;FAC-1603778266357,GRADE-014;	1957000-4925000	;FAC-1603778266357",TRUE,OUID-SOKLT02006,Senior Officer Kantor Layanan KCP HOS. Cokroaminoto - JKT                     ,LVL-005,OUID-EOKCV02001,PAY-1580288169116,LVL-005-SOKLT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-HDTLL02007,Head Teller                                       ,LVL-006,OUID-SOKLT02006,PAY-1580288169116,LVL-006-HDTLL
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-TLLER02008,Teller                                            ,LVL-006,OUID-SOKLT02006,PAY-1580288169116,LVL-006-TLLER
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-CSRIC02009,Customer Service                                  ,LVL-006,OUID-SOKLT02006,PAY-1580288169116,LVL-006-CSRIC
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-SBCKO02010,Staff Back Office,LVL-006,OUID-SOKLT02006,PAY-1580288169116,LVL-006-SBCKO
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-OFFBY02011,Office Boy                                        ,LVL-006,OUID-SOKLT02006,PAY-1580288169116,LVL-006-OFFBY
